题号,题型,题目,选项A,选项B,选项C,选项D,选项E,答案
94,单项选择题,具有凉血止血、清泻肝火作用的药物是（ ）,大蓟,小蓟,侧柏叶,槐花,,D
95,单项选择题,具有升浮性质的果实类药物是（ ）,旋覆花,金银花,苍耳子,决明子,,C
96,单项选择题,具有消食和中，健脾开胃功效的药物是（ ）,莱菔子,谷芽,白术,苍术,,B
97,单项选择题,具有逐瘀泻热功效的方剂是（ ）,血府逐瘀汤,补阳还五汤,桃核承气汤,温经汤,,C
98,单项选择题,可见眩晕，肢体震颤，面白无华症状的是（ ）,肝阳化风证,阴虚动风证,血虚生风证,热极生风证,,C
99,单项选择题,可用于脾阳不足，中焦虚寒所致的崩漏的方剂是（ ）,四物汤和生化汤,加味逍遥散和固冲汤,归脾汤和补中益气汤,理中丸和黄土汤,,D
100,单项选择题,李某，男，72 岁。5 年来时感眼前发黑，周围景物旋转，甚至无法站立，精神萎靡，,中风中经络之阴虚风动证,眩晕气血亏虚证,中风肝肾亏虚证,眩晕肾精不足证,,D
101,单项选择题,里热极盛，反见四肢发凉，其治疗原则是（ ）,因地制宜,治病求本,祛除邪气,因人制宜,,B
102,单项选择题,临床上所见的胀满疼痛、瘀斑及癥瘕积聚等证候反映了气与血之间的哪种关系（ ）,气不摄血,气滞血瘀,气随血脱,气血两虚,,B
103,单项选择题,苓桂术甘汤的功用是（ ）,温阳化饮，健脾利湿,温阳健脾，行气利水,利水消肿，理气健脾,利水渗湿，温阳化气,,A
104,单项选择题,六淫的共同致病特点不包括（ ）,外感性,季节性,传染性,地域性,,C
105,单项选择题,龙骨与牡蛎二者共同的功效是（ ）,重镇安神、平肝潜阳,重镇安神、凉血止血,重镇安神、清肝明目,收敛固涩、清肝明目,,A
106,单项选择题,麻黄杏仁甘草石膏汤中，石膏与麻黄的比例为（ ）,7∶1,1∶1,2∶1,3∶1,,C
107,单项选择题,马钱子的内服量为（ ）,0.3~0.6g,0.03~0.06g,1~3g,3~6g,,A
108,单项选择题,面色萎黄、少气懒言、疲乏无力等症可由哪项导致（ ）,气滞血瘀,气不摄血,气随血脱,气血两虚,,D
109,单项选择题,某女性患者，50 岁，经期紊乱，潮热盗汗，心烦易怒，失眠多梦，伴有头晕耳鸣，手,肾阴虚,肾阳虚,心脾两虚,肝郁气滞,,A
110,单项选择题,某些热病用苦寒泻火药治疗，热象反而加重，则应进一步采用（ ）,滋养阴液,加重苦寒药量,清利湿热,改用清热药,,A
111,单项选择题,某中年男性患者，因长期大量吸烟，近期出现咳嗽、咳痰、咯血等症状，诊断为慢性,控制感染,祛痰止咳,解痉平喘,促进排痰,,A
112,单项选择题,木、火、土、金、水最早被称为（ ）,五行,五物,五运,五材,,D
113,单项选择题,哪种病证最易首先影响到肝（ ）,气虚,血虚,阴虚,阳虚,,B
114,单项选择题,气机升降之枢指的是（ ）,肺气宣发，又主肃降,心火下降，肾水上升,脾主升清，胃主降浊,肝气主升，肺气主降,,C
115,单项选择题,牵牛子不宜与以下哪味药配伍（ ）,人参,苦参,巴豆,莱菔子,,C
116,单项选择题,前额部及眉棱骨等处的头痛多为（ ）,太阳头痛,厥阴头痛,阳明头痛,少阳头痛,,C
117,单项选择题,青蒿鳖甲汤证的病机是（ ）,阳明气分热盛证,阴虚有火，潮热盗汗证,阴虚内热，虚劳骨蒸证,温病后期，邪伏阴分证,,D
118,单项选择题,青蒿鳖甲汤中青蒿与鳖甲的配伍意义是（ ）,除烦坚阴，润燥降火,养血育阴，益气固表,滋阴退热，泻火除烦,滋阴清热，内清外透,,D
119,单项选择题,清胆利湿，和胃化痰的方剂是（ ）,青蒿鳖甲汤,茵陈蒿汤,半夏泻心汤,蒿芩清胆汤,,D
120,单项选择题,清营汤中所包含的方剂是（ ）,导赤散,左金丸,生脉散,增液汤,,D
121,单项选择题,全科医生在处理慢性阻塞性肺疾病（COPD）患者时，下列哪一项不是其治疗原则的一,长期家庭氧疗,无创机械通气,糖皮质激素吸入,呼吸功能锻炼,,B
122,单项选择题,全科医生在接诊患者时，应首先了解患者的哪个方面来判断其是否需要进一步转诊（ ）,患者的经济状况,患者对疾病的看法,患者的健康状况,患者的社会支持系统,,C
123,单项选择题,全科医学中，对于糖尿病患者的随访管理，以下哪一项是最关键的（ ）,每年一次的常规体检,定期监测血糖水平，并根据结果调整药物治疗,强制要求患者改变饮食习惯和增加运动量,定期进行糖尿病并发症的筛查,,B
124,单项选择题,全科医学中的“四诊”指的是哪四种诊断方法（ ）,问诊、望诊、切诊、听诊,问诊、切诊、望诊、闻诊,问诊、切诊、视诊、触诊,问诊、切诊、闻诊、视诊,,A
125,单项选择题,三仁汤中的“三仁”为（ ）,麻仁、桃仁、薏苡仁,杏仁、白蔻仁、薏苡仁,桃仁、白蔻仁、冬瓜仁,桃仁、白蔻仁、薏苡仁,,B
126,单项选择题,善于治疗肝气郁滞之痛经，人称“气病之总司，妇科之主帅”的药物是（ ）,香附,木香,佛手,青皮,,A
127,单项选择题,善于治疗无脉症的腧穴是（ ）,太渊,少商,郄门,尺泽,,A
128,单项选择题,芍药汤中大黄苦寒沉降，其泻下通腑可导湿热积滞从大便而去，此法为（ ）,塞因塞用,通因通用,热因热用,火郁发之,,B
129,单项选择题,肾气丸的主治有（ ）,胸痹,慢惊风,发狂,痰饮,,D
130,单项选择题,生化汤主治（ ）,脾气虚弱冲脉不固证,冲任虚寒，瘀血阻滞证,产后瘀血腹痛,脾不统血之崩漏,,C
131,单项选择题,实脾散组成中含有的药物是（ ）,草豆蔻白术,陈皮木瓜,茯苓皮大腹子,炮附子炙甘草,,D
132,单项选择题,四逆散中一升一降配伍的药物是（ ）,柴胡配芍药,柴胡配甘草,柴胡配枳实,芍药配甘草,,C
133,单项选择题,四逆汤与当归四逆汤二方组成中均含有的药物是（ ）,当归,附子,桂枝,甘草,,D
134,单项选择题,四逆汤中的姜药是（ ）,生姜,干姜,良姜,炮姜,,B
135,单项选择题,四神丸中“姜枣同煮，枣肉为丸”的用意是（ ）,调和营卫,温补脾胃,补中养血,调和诸药,,B
136,单项选择题,酸枣仁不具有的功效是（ ）,安神,敛汗,生津,活血消肿,,D
137,单项选择题,痰白而清稀，或有灰黑点者多属（ ）,热痰,寒痰,湿痰,燥痰,,B
138,单项选择题,体现“透热转气”法的代表方剂是（ ）,银翘散,白虎汤,清营汤,犀角地黄汤,,C
139,单项选择题,为全身阴阳之根本的是（ ）,肾阳,肝阳,心阳,肺阳,,A
140,单项选择题,位于小腿内侧，胫骨内侧髁下缘与胫骨内侧缘之间的凹陷中的腧穴是（ ）,足三里,阴陵泉,曲泉,地机,,B
141,单项选择题,温病辨证论治中身热夜甚，心烦躁扰，斑疹隐隐，舌红绛无苔，脉细数者。宜选择的,栀子豉汤,导赤承气汤,清营汤,清宫汤,,C
142,单项选择题,五倍子的全部功效是（ ）,固表止汗，敛肺止咳，涩肠止泻,敛肺降火，涩肠固精，敛汗止血,敛汗固表，缩尿止遗，固崩止带,涩肠止泻，收敛止血，涩精止遗,,B
143,单项选择题,五仁丸中无（ ）,桃仁,杏仁,柏子仁,麻子仁,,D
144,单项选择题,五色主病中黄色主（ ）,寒证,血瘀,水饮,湿证,,D
145,单项选择题,五行关系中“见肝之病，知肝传脾”是指（ ）,木侮土,木生土,木克土,木乘土,,D
146,单项选择题,五行特性中，何曰“润下”（ ）,木,火,土,水,,D
147,单项选择题,下合穴中可治疗肠痈、痢疾的是（ ）,委中,阳陵泉,足三里,上巨虚,,D
148,单项选择题,下列不按五行相生顺序排列的是（ ）,呼、笑、歌、哭、呻,筋、脉、肉、皮、骨,青、赤、黄、白、黑,角、徵、商、宫、羽,,D
149,单项选择题,下列不属于胁痛病因的是（ ）,肝郁气滞,肝胆湿热,肝胆火盛,痰热阻肺,,D
150,单项选择题,下列不属于足太阴经主治范围的是（ ）,肾病,脾胃病,妇科病,口舌病,,A
151,单项选择题,下列不宜与藜芦配伍的是（ ）,肉桂,黄芩,辛夷,苦参,,D
152,单项选择题,下列除哪项外均是瘀血常见的症状（ ）,肌肤甲错,出血,胀痛,唇甲青紫,,C
153,单项选择题,下列方剂中，麻黄用量最大的是（ ）,麻黄汤,麻杏甘石汤,葛根汤,桂枝汤,,B
154,单项选择题,下列各项，不属眩晕病因的是（ ）,年高肾亏,外感风湿,情志不遂,饮食不节,,B
155,单项选择题,下列各项，不属于和法范畴的是（ ）,表里双解,分消上下,寒热并用,消食和胃,,D
156,单项选择题,下列各项，不属于逍遥散证临床表现的是（ ）,两胁作痛,头痛目眩,神疲食少,脉弦而数,,D
157,单项选择题,下列各项，具有统血功能的是（ ）,肾,肺,肝,脾,,D
158,单项选择题,下列各项，可见口干但欲漱水不欲咽症状的是（ ）,阴虚,痰饮,瘀血,温病营分证,,C
159,单项选择题,下列各项中不属于消法范畴的是（ ）,消导食积,消痞化积,通导大便,消痰利水,,C
160,单项选择题,下列各组中，属于俞募配穴的是（ ）,厥阴俞、巨阙,三焦俞、京门,肝俞、章门,胆俞、日月,,D
161,单项选择题,下列关于“八纲辨证”的说法，哪项是正确的（ ）,表证多见于夏季，里证多见于冬季,寒证和热证是阴阳失调的表现，与脏腑功能无关,虚实辨证主要是根据症状的多少和轻重来判断,寒热辨证是根据患者感受的冷热程度来划分,,C
162,单项选择题,下列关于急性心肌梗死的描述，错误的是（ ）,心肌梗死主要原因是冠状动脉粥样硬化,心肌梗死分为 ST 段抬高型和非 ST 段抬高型,心肌梗死患者心电图上常出现异常 Q 波,心肌梗死患者的心脏彩超常显示室壁运动异常,,C
163,单项选择题,下列关于急性胰腺炎的描述，正确的是（ ）,急性胰腺炎主要累及胰腺的腺体组织和间质组织,急性胰腺炎的主要原因是饮酒过量,急性胰腺炎的主要症状是上腹痛、恶心和呕吐,急性胰腺炎的治疗主要是对症治疗和手术治疗,,C
164,单项选择题,下列关于慢性阻塞性肺疾病（COPD）的描述，正确的是（ ）,COPD 是一种遗传性疾病，与吸烟无关,COPD 的主要症状是慢性咳嗽、咳痰和呼吸困难,COPD 的危险因素包括空气污染、职业暴露和遗传因素,COPD 的治疗主要是药物治疗和生活方式干预,,B
165,单项选择题,下列关于全科医学的说法错误的是（ ）,全科医学是一门整合了预防、医疗、康复及健康促进的综合性医学专业,全科医生是提供全方位医疗服务的医生,全科医学注重疾病的治疗而非预防,全科医学强调以患者为中心的医疗服务模式,,C
166,单项选择题,下列关于望舌部位的顺序正确的是（ ）,先看舌中，再看舌尖、舌边，最后看舌根部,先看舌尖，再看舌中、舌边，最后看舌根部,先看舌边，再看舌尖、舌中，最后看舌根部,先看舌中，再看舌边、舌尖，最后看舌根部,,B
167,单项选择题,下列关于心肌梗死的描述，哪一项是正确的（ ）,心肌梗死仅发生在冠状动脉粥样硬化的基础上,心肌梗死通常不会影响心脏的收缩功能,心肌梗死常表现为节律性疼痛,心肌梗死的发生与血液中高密度脂蛋白水平无关,,A
168,单项选择题,下列关于中药煎煮方法的描述中，哪项是错误的（ ）,中药煎煮前需将药材浸泡一定时间,所有中药煎煮时均需加盖，以保持药效,煎煮过程中需要注意火候，避免火候过大或过小,煎煮时间应根据药材的性质和处方要求来确定,,B
169,单项选择题,下列关于中药炮制的描述中，错误的是（ ）,炮制的目的是增强药效或降低毒性,炮制的目的是为了提高药物的稳定性,有些中药需要经过炮制才能使用,炮制是为了去除药材中的杂质,,B
170,单项选择题,下列关于中医“八纲辨证”的描述，错误的是（ ）,表证多见于外感病初期,里证多见于疾病中期,寒证表现为面色苍白、四肢不温、脉沉迟,热证表现为面色潮红、口渴、脉数,,B
171,单项选择题,下列关于中医“脏腑学说”中，不属于五脏的是（ ）,心,肝,脾,骨,,D
172,单项选择题,下列关于中医脏腑理论的描述，哪项是错误的（ ）,肺为“水之上源”,脾为“气血生化之源”,肝主疏泄，调节情志活动,肾为“先天之本”，具有藏精主骨生髓的功能,,B
173,单项选择题,下列哪项不是六味地黄丸的药组（ ）,丹皮,泽泻,枸杞,淮山药,,C
174,单项选择题,下列哪项不是青蒿鳖甲汤主治证的症状（ ）,身热不扬,热退无汗,舌红苔少,脉细数,,A
175,单项选择题,下列哪项不属于旋覆代赭汤的药组（ ）,生姜,干姜,甘草,大枣,,B
176,单项选择题,下列哪项不是关元穴的主治病证（ ）,中风脱证、虚劳冷惫,癫狂痫、失眠,少腹疼痛、疝气,遗精、阳痿、早泄,,B
177,单项选择题,下列哪项不是六淫致病的特点（ ）,直接伤及内脏,与季节气候有关,可以单独致病,可以合并致病,,A
178,单项选择题,下列哪项不是全科医学的基本原则（ ）,以门诊为主体的服务,强调可及性和可接近性,提供急诊服务为主,提供“六位一体”服务,,C
179,单项选择题,下列哪项不是全科医学中常见的治疗方法（ ）,针灸,中药治疗,推拿按摩,手术,,D
180,单项选择题,下列哪项不是中医辨证论治的基本原则（ ）,辨证求因,辨病论治,辨证论治,因人制宜,,B
